code,title,type,start_local,end_local,facility,room,topics,tags,path
1A,Andreas Acrivos memorial symposium,ORAL,2025-11-22 09:00,2025-11-22 17:15,George R. Brown Convention Center,310A,,Additional Fee; Community Engagement; Requires Separate Registration; Workshop,/dfd/2025/events/1A
2A,Bud Homsy Memorial Symposium,FOCUS,2025-11-22 09:30,2025-11-22 16:50,George R. Brown Convention Center,310C,,Additional Fee; Community Engagement; Requires Separate Registration; Workshop,/dfd/2025/events/2A
3A,"Applying for Jobs for Late-Stage Graduate Students &amp; Applying for Faculty Positions (and What Comes After) (Organizers: APS DFD Education and Outreach Committee- Points of contact: Alban Sauret, University of Maryland and Kartik Bulusu, The George Washington University; DFD member-at-large, Amrapalli Garanaik, Oregon State University )",MIXED,2025-11-22 18:30,2025-11-22 20:00,George R. Brown Convention Center,310B,,Additional Fee; Careers; Early Career; Graduate Students; Requires Separate Registration; Workshop,/dfd/2025/events/3A
4A,Science and the State: Navigating the Evolving Landscape of U.S. Research Policy,MIXED,2025-11-22 19:30,2025-11-22 21:00,George R. Brown Convention Center,320A,,Community Engagement,/dfd/2025/events/4A
A04,Biological Fluid Dynamics: Phonation and Flows,ORAL,2025-11-23 08:00,2025-11-23 09:18,George R. Brown Convention Center,310A,Biological Fluid Dynamics,Contributed Session,/dfd/2025/events/A04
A05,Biological Fluid Dynamics: Vesicles and Micelles,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,310B,Biological Fluid Dynamics,Contributed Session,/dfd/2025/events/A05
A06,Porous Media Flows I,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,310C,Porous Media Flows,Contributed Session,/dfd/2025/events/A06
A07,Drops: Super-Repellent Surfaces,ORAL,2025-11-23 08:00,2025-11-23 09:18,George R. Brown Convention Center,320A,Drops,Contributed Session,/dfd/2025/events/A07
A08,Drops: Complex Fluids,ORAL,2025-11-23 08:00,2025-11-23 09:05,George R. Brown Convention Center,320B,Drops,Contributed Session,/dfd/2025/events/A08
A09,Biological Fluid Dynamics: Ecological Flows I,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,320C,Biological Fluid Dynamics,Contributed Session,/dfd/2025/events/A09
A12,Biological Fluid Dynamics: Blood Vessels I,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,340AB,Biological Fluid Dynamics,Contributed Session,/dfd/2025/events/A12
A14,Bubbles: Cavitation I,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,351AD,Bubbles,Contributed Session,/dfd/2025/events/A14
A15,Compressible Flow: Computational Methods,ORAL,2025-11-23 08:00,2025-11-23 09:18,George R. Brown Convention Center,351BE,Compressible Flows,Contributed Session,/dfd/2025/events/A15
A16,Reacting Flows: Turbulent Combustion,ORAL,2025-11-23 08:00,2025-11-23 09:05,George R. Brown Convention Center,351CF,Reacting Flows,Contributed Session,/dfd/2025/events/A16
A17,Modeling Boundary-Layer Turbulence,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,352DEF,Turbulence,Contributed Session,/dfd/2025/events/A17
A18,Acoustic Diagnostics,ORAL,2025-11-23 08:00,2025-11-23 09:05,George R. Brown Convention Center,360AD,Acoustics,Contributed Session,/dfd/2025/events/A18
A19,Convection and Buoyancy-Driven Flows: Environmental &amp; Stratified Convection,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,360BE,Convection and Buoyancy-Driven Flows,Contributed Session,/dfd/2025/events/A19
A20,Surface Tension Effects: Particle Interactions,ORAL,2025-11-23 08:00,2025-11-23 09:18,George R. Brown Convention Center,360CF,Surface Tension Effects,Contributed Session,/dfd/2025/events/A20
A21,CFD: Algorithm I,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,361AD,Computational Fluid Dynamics,Contributed Session,/dfd/2025/events/A21
A22,CFD: Data Driven,ORAL,2025-11-23 08:00,2025-11-23 09:18,George R. Brown Convention Center,361BE,Computational Fluid Dynamics,Contributed Session,/dfd/2025/events/A22
A23,Flow Instability: Complex Fluids,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,361CF,Flow Instability,Contributed Session,/dfd/2025/events/A23
A24,Particle-Laden Flows: Modeling and Theory I,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,362AD,Particle-Laden Flows,Contributed Session,/dfd/2025/events/A24
A25,Vortex Flows: Stability and Control,ORAL,2025-11-23 08:00,2025-11-23 09:18,George R. Brown Convention Center,362BE,Vortex Dynamics and Vortex Flows,Contributed Session,/dfd/2025/events/A25
A26,"Microscale and Nanoscale Flows: Particles, Drops, Bubbles I",ORAL,2025-11-23 08:00,2025-11-23 09:18,George R. Brown Convention Center,362EF,Microscale and Nanoscale Flows,Contributed Session,/dfd/2025/events/A26
A27,General Fluid Dynamics: Theory,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,370AD,General Fluid Dynamics,Contributed Session,/dfd/2025/events/A27
A28,Industrial Applications: General I,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,370BE,Industrial Applications,Contributed Session,/dfd/2025/events/A28
